stop_lat,zone_id,stop_lon,stop_url,stop_id,stop_desc,stop_name,location_type
27.314617,merged_90841,-82.579721,,80_merged_90433,,BEN FRANKLIN DR @ THOREAU DR,
27.311983,merged_90840,-82.497474,,259_merged_86988,,BENEVA RD @ PINE VALLEY DR,0
27.37619,merged_90840,-82.546928,,3555_merged_88142,,OLD BRADENTON RD @ 47TH ST,0
27.361541,merged_90841,-82.53462,,1016_merged_89280,,OSPREY AV @ 29TH ST,
27.363419,merged_90841,-82.534594,,530_merged_89186,,OSPREY AV @ 31ST ST,
27.376416,merged_90841,-82.63318,,2500_merged_89219,,GULF OF MEXICO DR @ BUTTONWOOD COVE,
27.307505,merged_90840,-82.513963,,660_merged_88161,S TUTTLE AVE & BOUGAINVILLEA ST,TUTTLE AV @ BOUGAINVILLEA ST,0
27.295124,merged_90840,-82.451732,,1407_merged_88189,CATTLEMEN RD & CENTER POINTE DR,CATTLEMEN RD @ CENTER POINTE CR,0
27.101185,merged_90841,-82.457065,,2587_merged_90055,,BARCELONA AV @ ARMADA RD,
27.322854,merged_90841,-82.503802,,574_merged_90613,,BAHIA VISTA ST @ GILBERT AV,
27.056333,merged_90841,-82.411985,,2907_merged_90762,,US 41 S @ ALLIGATOR DR,
27.370477,merged_90841,-82.628901,,3802_merged_89307,,GULF OF MEXICO BV @ 3000 BLOCK,
27.346768,merged_90841,-82.546833,,1285_merged_88869,,US 41 N @ 11TH ST,
27.298653,merged_90841,-82.481093,,551_merged_88847,,BEE RIDGE RD @ MCINTOSH RD WS,
27.36024,merged_90840,-82.505781,,3669_merged_87791,,LOCKWOOD RIDGE RD @ MLK,0
27.3638,merged_90840,-82.459139,,1376_merged_86817,N HONORE AVE & STRATFIELD DR,HONORE AV @ STRATFIELD DR,0
27.296542,merged_90841,-82.514088,,857_merged_89206,,SWIFT RD @ FOREST LN,
27.233126,merged_90841,-82.497286,,3622_merged_90527,,TAMIAMI TRL @ BENEVA RD,
27.409503,merged_90840,-82.570729,,4109_merged_88238,,US 41 N @ WHITFIELD AVE MANATEE,0
26.962167,merged_90840,-82.350904,,3886_merged_88400,,DEARBORN ST @ BROADWAY RD,0
27.087794,merged_90841,-82.429967,,2940_merged_89800,,US 41 BY @ VIA VENETO,
27.078645,merged_90841,-82.440634,,3900_merged_89430,,AIRPORT AVE @ COOPER ST,
27.408744,merged_90840,-82.655455,,3962_merged_88260,,GULF OF MEXICO DR @ CLUB LONGBOAT,0
27.477256,merged_90840,-82.57539,,4074_merged_88249,,14TH ST W @ 26TH AVE W MANATEE,0
27.349581,merged_90840,-82.530415,,1248_merged_88014,,US 301 @ 12TH ST,0
27.377739,merged_90840,-82.505575,,1215_merged_87446,N LOCKWOOD RIDGE RD & 49TH ST,LOCKWOOD RIDGE RD @ 51ST ST,0
27.32724,merged_90841,-82.58317,,2442_merged_88793,,JOHN RINGLING PW @ MORNINGSIDE DR,
27.338271,merged_90841,-82.41628,,3317_merged_89504,,FRUITVILLE RD @ TATUM RD,
27.078903,merged_90840,-82.416506,,2664_merged_88494,336 CENTER RD & PEPPERTREE RD,CENTER RD @ PEPPERTREE RD,0
27.269242,merged_90841,-82.505421,,3422_merged_90225,,CLARK RD @ LOCKWOOD RIDGE RD,
27.101138,merged_90840,-82.458405,,2606_merged_87534,,BARCELONA AV@ CADIZ RD,0
27.296662,merged_90841,-82.514246,,795_merged_89374,,SWIFT RD @ FOREST LN,
27.079076,merged_90841,-82.416306,,2755_merged_89947,,CENTER RD @ PEPPERTREE RD,
27.074443,merged_90840,-82.397924,,2827_merged_88176,883 SHAMROCK BLVD & LAKESIDE DR,SHAMROCK BV @ LAKESIDE DR,0
27.352175,merged_90840,-82.535755,,2127_merged_88286,17TH ST & N OSPREY AVE,17TH ST @ OSPREY AV,0
27.363848,merged_90841,-82.538416,,4124_merged_90033,,32ND ST @ ORANGE AVE WESTBOUND,
27.049786,merged_90840,-82.358784,,2778_merged_87514,S TAMIAMI TRL & BOARDWALK,US 41 S @ ROCKLEY BV,0
27.298671,merged_90841,-82.498399,,1967_merged_89001,,BEE RIDGE RD @ BENEVA RD,
27.267166,merged_90841,-82.551629,,622_merged_88894,,BEACH RD @ BEACH WAY DR,
27.055202,merged_90841,-82.214586,,2902_merged_90416,,SUMTER BV @ HERON CREEK BV,
27.279707,merged_90841,-82.497567,,161_merged_89095,,BENEVA RD @ COUNTRY PLACE BV,
27.325357,merged_90841,-82.497484,,254_merged_89085,,BENEVA RD @ HACIENDA ST,
27.367129,merged_90840,-82.534611,,3468_merged_88275,,MYRTLE & OSPREY,0
26.987835,merged_90841,-82.365645,,3757_merged_89079,,INDIANA AV @ CHARLESTON CIR,
27.335586,merged_90841,-82.527916,,12_merged_89420,,RINGLING BV @ EAST AV,
27.51516,merged_90841,-82.572912,,4048_merged_89875,,8TH AVE W @ 5TH ST,
27.367835,merged_90841,-82.54692,,373_merged_88939,,OLD BRADENTON RD @ 38TH ST,
27.328021,merged_90840,-82.443482,,3329_merged_87062,,APEX RD @ TOWER LN,0
27.492257,merged_90841,-82.575255,,4068_merged_90187,,14TH ST W @ 9TH AVE W MANATEE,
27.38813,merged_90840,-82.478626,,1368_merged_88745,LONGWOOD RUN BLVD & UNIVERSITY PKWY,LONGWOOD RUN BV @ UNIVERSITY PW,0
27.352528,merged_90841,-82.464063,,1381_merged_89051,,HONORE AV @ 17TH ST,
27.258677,merged_90840,-82.538355,,734_merged_88543,MIDNIGHT PASS RD & MOONMIST CIR,MIDNIGHT PASS RD @ BIG OAK LN,0
27.357316,merged_90840,-82.538453,,1025_merged_87566,,ORANGE AV @ 23RD ST,0
27.387183,merged_90840,-82.463931,,1371,N HONORE AVE & UNIVERSITY PKWY,HONORE AV @ UNIVERSITY PW,0
27.193927,merged_90841,-82.489671,,889_merged_89958,,US S41 @ HIDDEN BAY DR,
27.338139,merged_90840,-82.463846,,1384_merged_86955,N HONORE AVE & FRUITVILLE RD,HONORE AV @ FRUITVILLE RD,0
27.317337,merged_90840,-82.529772,,3769_merged_88599,,US 41 @ ARLINGTON ST,0
27.433404,merged_90840,-82.575515,,4099_merged_87610,,US 41 N @ BAYSHORE GARDEN SHOPPING,0
27.3356,merged_90841,-82.530469,,3339_merged_89259,,RINGLING BV @ US 301 ES,
27.368624,merged_90841,-82.546912,,4180,,OLD BRADENTON RD @ 39TH ST,
27.335083,merged_90840,-82.536077,,50_merged_87085,,RINGLING BV @ PINE PL,0
27.517608,merged_90840,-82.572868,,4049_merged_87783,,8TH AVE W @ 7TH ST PALMETTO,0
27.107697,merged_90840,-82.440452,,832_merged_87398,US 41 BYPASS N & BIRD BAY DR W,US 41 BY @ BIRD BAY DR,0
27.276501,merged_90840,-82.456338,,1262_merged_87897,,ASHTON RD @ GANTT AV,0
27.337924,merged_90841,-82.480747,,4144_merged_89716,,FRUITVILLE RD @ ARBOR OAKS DR WB,
27.298764,merged_90840,-82.461485,,3695_merged_86889,,BEE RIDGE RD @ MAVERICK AVE,0
27.252105,merged_90840,-82.515205,,937_merged_87255,S TAMIAMI TRL & BAYWOOD DR,US 41 @ BUCCANEER DR,0
27.348699,merged_90841,-82.536432,,2130_merged_90209,,12TH ST @ GOODRICH AV,
27.442594,merged_90840,-82.587705,,4092_merged_87603,,26TH ST W @ 56TH AVE W MANATEE,0
27.2258,merged_90841,-82.491553,,2010_merged_90403,,CENTRAL SAR SQU PKWY @ TARGET,
27.334108,merged_90840,-82.538628,,54_merged_87081,,ORANGE AV @ CROSS ST,0
27.304601,merged_90841,-82.533687,,788_merged_89510,,OSPREY AV @ SHORELAND DR,
27.328426,merged_90840,-82.533689,,1145_merged_86933,S OSPREY AVE & MOUND ST,OSPREY AV @ MOUND ST,0
27.328381,merged_90841,-82.539803,,4184,,MOUND @ PALM AVE,
27.298761,merged_90840,-82.464941,,3694_merged_86888,,BEE RIDGE RD @ HONORE AVE,0
27.282673,merged_90840,-82.530647,,1118_merged_87598,S TAMIAMI TRL & LAS LOMAS WAY,US 41 @ LAS LOMAS DR,0
27.063203,merged_90841,-82.393902,,2801_merged_90618,,JACARANDA BV @ COVE POINT DR,
27.381679,merged_90841,-82.509725,,1295_merged_90709,,DESOTO RD @ TRAYLOR AV,
27.318039,merged_90840,-82.514202,,684_merged_86792,S TUTTLE AVE & LYNNHURST ST,TUTTLE AV @ HAWTHORNE ST,0
27.077739,merged_90841,-82.397114,,2972_merged_89970,,SHAMROCK BV @ KATHY CT,
27.230167,merged_90840,-82.497573,,3612_merged_87949,,VAMO RD @ BAY VILLAGE,0
27.100166,merged_90841,-82.459387,,2589_merged_90059,,THE ESPLANADE @ BEACH PAVILLION,
27.073229,merged_90840,-82.414318,,2935_merged_88507,368 SHAMROCK BLVD & POMELO DR,SHAMROCK BV @ POMELO DR,0
27.298978,merged_90840,-82.557876,,707_merged_88332,HIGEL AVE & N SHELL RD,HIGEL AV @ SHELL RD,0
27.447704,merged_90841,-82.582011,,4019_merged_90658,,53RD AVE @ 20TH ST W,
27.393128,merged_90841,-82.561528,,4115_merged_90172,,US 41 N @ AIRPORT HILTON MANATEE,
27.099476,merged_90841,-82.392856,,3657_merged_89460,,E VENICE AV @ CLERMONT RD,
27.332913,merged_90840,-82.542687,,3796_merged_87245,,RINGLING BV @ BAYFRONT DR,0
27.317867,merged_90840,-82.513921,,666_merged_88151,S TUTTLE AVE & ARLINGTON ST,TUTTLE AV @ HAWTHORNE ST,0
27.074555,merged_90840,-82.230105,,2897_merged_87453,,PRICE W BV @ HYDER TE,0
27.352435,merged_90840,-82.506892,,185_merged_87823,17TH ST & TARPON AVE,17TH ST @ TARPON AV,0
27.329249,merged_90840,-82.49749,,1761_merged_86923,,BENEVA RD @ 737 BENEVA RD,0
27.298722,merged_90841,-82.467553,,3693_merged_88980,,BEE RIDGE RD @ LALANI BLVD,
27.085482,merged_90840,-82.439296,,3280_merged_87839,,BUS 41 @ PINE GROVE DR,0
27.338283,merged_90841,-82.412293,,3344_merged_89332,,FRUITVILLE RD @ JACOBS LN,
27.068979,merged_90840,-82.389235,,2804_merged_88528,JACARANDA BLVD & KINGS CT,JACARANDA BV @ BISHOPWOOD CT,0
27.243873,merged_90840,-82.509632,,975_merged_87810,,US 41 @ KAI DR,0
27.316994,merged_90840,-82.580129,,79_merged_87882,,JOHN RINGLING BV  @ POLK DR,0
27.386188,merged_90841,-82.556349,,1628_merged_88834,,GEN SPAATZ  @ AIRPORT AUDITORIUM LN,
27.099744,merged_90841,-82.454274,,3260_merged_89632,,VENICE AV @ PARK BV N,
27.327723,merged_90841,-82.525851,,3570_merged_90582,,SCHOOL AVE @ BAY ST,
27.348797,merged_90840,-82.538557,,1034_merged_87574,,ORANGE AV @ 12TH ST,0
27.473801,merged_90841,-82.57518,,4030_merged_88927,,14TH ST W @ 30TH AVE W,
27.078702,merged_90841,-82.436755,,3905_merged_89427,,AVENIDA DEL CIRCO @ AIRPORT AVE,
27.337931,merged_90840,-82.452618,,5_merged_88592,,FRUITVILLE RD @ CATTLEMEN RD,0
27.252493,merged_90841,-82.534637,,720_merged_90798,,STICKNEY POINT RD @ MIDNIGHT PASS R,
26.971804,merged_90841,-82.353224,,3752_merged_89077,,INDIANA AV @ PARK FOREST BLVD,
27.317319,merged_90840,-82.529782,,3949_merged_87922,,US 41 & ARLINGTON,0
27.447663,merged_90841,-82.579495,,4020_merged_88753,,53RD AVE @ 17TH ST W,
27.328666,merged_90841,-82.525833,,3565_merged_90412,,SCHOOL AVE @ WOOD ST,
27.276636,merged_90841,-82.456395,,1416_merged_90150,,GANTT AV @ ASHTON RD,
27.079053,merged_90840,-82.404149,,2823_merged_88179,564 CENTER RD & SCARSDALE DR,CENTER RD @ SCARSDALE DR,0
27.099502,merged_90841,-82.395978,,2625_merged_89923,,E VENICE AV @ ELLIS BV,
27.326928,merged_90840,-82.449897,,9_merged_88004,,PACKINGHOUSE RD @ PALMER BV,0
27.356598,merged_90841,-82.544886,,3562_merged_90406,,COCOANUT AV @ PANAMA DR,
27.335608,merged_90841,-82.531203,,195_merged_89733,,RINGLING BV @ US 301 WS,
27.374959,merged_90841,-82.632213,,1553_merged_89170,,GULF OF MEXICO DR @ SEAHORSE,
27.377359,merged_90840,-82.463692,,3729_merged_87968,,HONORE AV @ TRAVINI,0
27.32296,merged_90841,-82.483059,,586_merged_90441,,BAHIA VISTA ST @ MCINTOSH RD,
27.059226,merged_90841,-82.395404,,2800_merged_90617,,JACARANDA BV @ DORAL LN,
27.342292,merged_90840,-82.514106,,193_merged_87645,,TUTTLE AV @ HIDDEN LAKE BV,0
27.070397,merged_90840,-82.210175,,2954_merged_87561,W PRICE BLVD & GLENALLEN BLVD,PRICE W BV @ SUMTER BV,0
27.000195,merged_90840,-82.376402,,2922_merged_88664,ENGLEWOOD RD & WHISPERING PINES CIR,ENGLEWOOD RD @ ENGLEWOOD ISLES PW,0
27.049876,merged_90840,-82.243326,,3463_merged_87545,PAN AMERICAN BLVD & TROTT CIR,PAN AMERICAN @ TROTT CR,0
27.322839,merged_90841,-82.507712,,409_merged_88914,,BAHIA VISTA ST @ CONRAD N AV,
27.360512,merged_90841,-82.463851,,1378_merged_88912,,HONORE AV @ TAYWOOD MEADOW,
27.3356,merged_90840,-82.530469,,3339_merged_87166,,RINGLING BV @ US 301 ES,0
27.311829,merged_90841,-82.451296,,1278_merged_89809,,CATTLEMEN RD @ COLONIAL OAKS BV,
27.429449,merged_90841,-82.575566,,4101_merged_90323,,US 41 N @ 63RD AVE W MANATEE,
27.293444,merged_90841,-82.530487,,1123_merged_89263,,US 41 @ IVANHOE ST,
27.434828,merged_90841,-82.575448,,3497_merged_89450,,US 41 & 60TH AVENUE,
27.301499,merged_90840,-82.514078,,861_merged_87919,,TUTTLE AV @ HOMASASSA RD,0
27.053885,merged_90841,-82.241304,,3466_merged_89635,,PAN AMERICAN @ KETONA RD,
27.056246,merged_90841,-82.423883,,3745,,SEMINOLE DR @ SIESTA DR,
27.079227,merged_90840,-82.40189,,3743,,CENTER RD @ HORSE AND CHAISE BLVD,0
27.092023,merged_90840,-82.433949,,3740,,SEABOARD AVE @ ANDERSON,0
27.371951,merged_90841,-82.530746,,287_merged_90687,,US 301 @ NORTHGATE BV NS,
27.337494,merged_90841,-82.490724,,3348_merged_88852,,FRUITVILLE RD @ MIDWEST PKWY,
27.065474,merged_90841,-82.392079,,2634_merged_90074,,JACARANDA BV @ SKLAR DR,
27.359686,merged_90840,-82.525357,,537_merged_87087,,MLK @ COLSON AVE,0
27.468369,merged_90840,-82.575167,,4027_merged_86655,,14TH ST W @ 36TH AVE W,0
27.379937,merged_90840,-82.546885,,380_merged_86975,,OLD BRADENTON RD @ 53RD ST,0
27.463172,merged_90841,-82.575184,,4026_merged_88747,,14TH ST W @ BOB EVANS,
27.308216,merged_90841,-82.482386,,4155_merged_89584,,WEBBER ST @ MCINTOSH RD EASTBOUND,
27.228418,merged_90840,-82.494464,,1079_merged_88036,S TAMIAMI TRL & LAKE VIEW DR,US 41 @ MARCIA ST,0
27.294906,merged_90841,-82.451561,,1271_merged_89814,,CATTLEMEN RD @ CENTER POINTE CR,
