stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
486,NW 60 AV@MIAMI LAKES DR,,25.909904,-80.299249,,
490,NW 60 AV@MIAMI LAKES DR,,25.909522,-80.299429,,
491,W 12 AV@W 49 ST,,25.866141,-80.306908,,
493,NW 72 AV@NW 19 ST,,25.79321,-80.312986,,
495,SW 67 AV@SW 16 ST,,25.755246,-80.303779,,
496,SW 67 AV@SW 24 ST,,25.747632,-80.303656,,
499,NW 27 AV@NW 175 ST,,25.933099,-80.245065,,
500,NW 12 AV@NW 183 ST,,25.942294,-80.221173,,
502,NE 185 ST@NE 15 AV,,25.944794,-80.171278,,
503,NE 185 ST@NE 15 AV,,25.945015,-80.171265,,
505,NW 12 AV@NW 183 ST,,25.942273,-80.221335,,
506,NW 27 AV@NW 175 ST,,25.933468,-80.244803,,
508,NW 199 ST@NW 2 AV,,25.956954,-80.20633,,
509,NW 2 AV@NW 183 ST,,25.941719,-80.205284,,
510,NW 7 AV@NW 135 ST,,25.898428,-80.211411,,
511,NW 7 AV@NW 79 ST,,25.846572,-80.209217,,
512,NW 7 AV@NW 35 ST,,25.809401,-80.207594,,
513,NW 7 AV@NW 11 ST,,25.784487,-80.206888,,
516,NW 7 AV@NW 11 ST,,25.784596,-80.206697,,
517,NW 7 AV@NW 36 ST,,25.809736,-80.20744,,
518,NW 7 AV@NW 62 ST,,25.832554,-80.208397,,
519,NW 7 AV@NW 79 ST,,25.847388,-80.209045,,
520,NW 2 AV@NW 183 ST,,25.942313,-80.205025,,
521,NW 199 ST@NW 2 AV,,25.95717,-80.206829,,
523,NE 163 ST@NE 13 AV,,25.925669,-80.173548,,
524,NE 163 ST@NE 15 AV,,25.925803,-80.169811,,
526,NW 183 ST@NW 7 AV,,25.942309,-80.213527,,
527,NW 183 ST@NW 27 AV,,25.941,-80.246516,,
529,NW 186 ST@NW 67 AV,,25.942526,-80.308114,,
534,NW 183 ST@NW 27 AV,,25.940756,-80.246228,,
536,NE 183 ST@NE 2 CT,,25.94277,-80.19625,,
539,SW 87 AV@SW 56 ST,,25.716036,-80.334781,,
540,SW 87 AV@SW 24 ST,,25.748762,-80.33558,,
542,NW 25 ST@NW 89 PL,,25.796793,-80.341923,,
547,SW 87 AV@SW 25 ST,,25.746588,-80.335784,,
548,SW 87 AV@SW 56 ST,,25.716171,-80.335037,,
549,SW 88 ST@SW 152 AV,,25.684452,-80.439689,,
551,SW 88 ST@SW 132 AV,,25.685633,-80.403161,,
552,SW 88 ST@SW 107 AV,,25.686823,-80.366076,,
555,SW 88 ST@SW 107 AV,,25.687099,-80.366184,,
556,SW 88 ST@SW 132 AV,,25.685848,-80.404366,,
557,SW 84 ST@# 14141,,25.688536,-80.422493,,
558,SW 88 ST@SW 152 AV,,25.684681,-80.440334,,
560,NW 199 ST@NW 47 AV,,25.953988,-80.278704,,
562,NW 215 ST@NW 2 AV,,25.972708,-80.205192,,
564,NE 199 ST@NE 2 AV,,25.957482,-80.197181,,
565,NE 10 AV@NE 199 ST (WOOD RDG),,25.959037,-80.182044,,
570,NE 185 ST@NE 19 AV,,25.945997,-80.162196,,
574,NE 10 AV@NE 199 ST,,25.959189,-80.182289,,
575,NE 199 ST@NE 2 AV,,25.957718,-80.197517,,
577,NW 215 ST@US 441,,25.972754,-80.206896,,
579,NW 199 ST@NW 47 AV,,25.954236,-80.277929,,
580,NW 186 ST@NW 87 AV,NW 186 ST & # 8505,25.942437,-80.340481,,
581,NW 57 AV@NW 167 ST,,25.925934,-80.293058,,
583,NE 15 AV@NE 167 ST,,25.928916,-80.170246,,
584,N MIAMI AV@NE 183 ST,,25.943187,-80.201052,,
586,NW 16 ST@NW 12 AV,,25.790369,-80.216012,,
